"Блок","Что делать","Причина"
"Menu policy","sync to mode-policy: full=scroll, compact=modal","Сейчас mobile full работает как compact (дрейф логики)"
"Footer / legal","simplify globally: вынести legal mini в общий always-visible слой","Комплаенс и доверие не должны зависеть от режима"
"Journey","sync to desktop full (добавить в modal map и mobile section)","Сейчас блок фактически потерян в 3 режимах"
"Programs","sync to desktop full data, mobile-full compact UI","Смена/календарь должны быть доступны в каждом режиме"
"Reviews","sync to desktop full core elements (score + CTA + >=4 reviews)","Social proof критичен для конверсии"
"Team","sync to approved team composition baseline","Book-card и core team теряются в mobile full"
"Contacts + Map","sync to minimum common standard","Карта/адрес/телефоны должны быть доступны без обходных путей"
"Photo","keep divergent, but add common affordances","Mobile может быть короче, но нужен вход в полный опыт"
"Video","keep divergent, but align entry model","Инлайн/модалка должны быть предсказуемыми"
"FAQ","keep divergent with grouped tabs preserved","Flat list можно оставить как teaser, но нужен доступ к группам"
"Booking flow","keep divergent (2 DOM branches), sync behavior only","Логика уже унифицирована, расхождение в presentation оправдано"
"Summary bar","keep divergent","В compact скрытие допустимо из-за конфликтов layout"
