commit_sha,commit_short,date,message
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference"
c034b60f881bf9ff3115c76ba6f6107cdb6cc8f4,c034b60,2026-03-25T11:04:53+03:00,"assets: move missing external images to local cdn-cache and rewire sources"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map"
ac2616c638f14f5c8d68cff5d58a96b458f11120,ac2616c,2026-03-25T10:22:08+03:00,"chore: archive local untracked snapshots into tarballs"
fc5c0d7705314b4f2fce7880abd5387656950898,fc5c0d7,2026-03-24T22:00:36+03:00,"chore: snapshot current phase3 working state"
c94320f3c2ade5a7bd9de0b12ce401e81f91f7f6,c94320f,2026-03-24T14:07:08+03:00,"chore: execute approved Phase 3 repo hygiene actions"
6d08bbb7c361bb66d1c8ddea7fe8caa8f412fa28,6d08bbb,2026-03-24T13:58:49+03:00,"reports: publish css step2d step2e step2f packs"
4df0fd0bed61fb71d87e611d3de4eafe1d796d46,4df0fd0,2026-03-24T12:15:20+03:00,"reports: emphasize baseline as canonical permanent reference"
11ce1e908602e2dcfa87d8fcc67aa57d21b40a01,11ce1e9,2026-03-24T12:12:04+03:00,"reports: add Step 2C pack with accepted baseline and ChatGPT handoff"
ffaedc4d9e6b1a44b8cf9ec846fc84d65d1fa9c1,ffaedc4,2026-03-24T12:02:42+03:00,"docs: add consolidated repo hygiene report package for ChatGPT transfer"
1329a772b241928210e94ae544ebd03a0385abdd,1329a77,2026-03-24T10:57:56+03:00,"chore: apply approved artifact policy gitignore rules"
30356d261e5238294ea164aae3277a42310e1796,30356d2,2026-03-24T10:46:14+03:00,"docs: add AidaCamp artifact policy and inventory baseline"
71ab8899dedaa303db99dcf60960fb46f1645f7d,71ab889,2026-03-21T21:48:35+03:00,"booking draft flow: persist on close, open request step, and show compact resume header"
ff89d6397b3f087e3d7dca7235b0d8f5c0a90085,ff89d63,2026-03-21T21:40:00+03:00,"shift calendar: keep inside active card and use icon close button"
33ef32efa0db2d94846f274d199539273a27286b,33ef32e,2026-03-21T21:36:22+03:00,"shift calendar: isolate clicks from price action and keep calendar inside active card"
f8738467a61e0a9145864a9f6531ef5001fff09a,f873846,2026-03-21T21:30:38+03:00,"shifts card: remove placeholder gap and fixed min-height"
6e5906a852edfb8867b9993585040c7a2e36b1e0,6e5906a,2026-03-21T21:22:32+03:00,"shift promo flow: slow search statuses + disabled processing button"
44e98afc77ca7e71fb121bd0383671d46b77ee68,44e98af,2026-03-21T13:11:45+03:00,"mobile video cards: photo-style corners and custom mobile posters"
fcae526ae2df7222d014e0fb89b14039ed4abc60,fcae526,2026-03-21T13:08:54+03:00,"funnel controls: tighten layout after removing back button"
9c54f86284958bea28f33c95a452d83f68fe0b66,9c54f86,2026-03-21T12:25:10+03:00,"hero funnel: remove redundant back button (block 36)"
