what,commit_now,why
"docs/contracts.md, docs/state-schema.md, docs/release-checklist.md, docs/project-map.md",Yes,Core runtime/release documentation should stay versioned and current.
src/pages/legal.html,Yes,Source page belongs to product source tree (not generated dist copy).
One canonical final artifact inventory report (this package extracted form),Yes,Provides governance baseline for cleanup policy.
Curated 5-10 final screenshots only,Optional/Yes,Keep only baseline visuals required for review/regression sign-off.
"root gpt.html, legal.html, build/*, dist/legal.html",No,Generated artifacts; commit only if project policy explicitly requires deployment snapshots.
"patch_*.zip, audit_*.zip, release/*.zip, prototype-export/*.zip",No,Binary archives are heavy and duplicated by extracted report/docs.
diff/changes.diff and nested patch/*/diff/changes.diff,No,Intermediate diff products; regenerate when needed.
screens/* bulk (74 files),No,Large debug/history screenshot dump; keep outside git and curate subset.
audit/playwright/artifacts/*,No,Ignored autogenerated test artifacts.
archive/non-runtime/* and backup snapshots,No,"Historical backups should live in archive storage, not active VCS history."
