"Блок","Desktop Full","Desktop Compact","Mobile Full","Mobile Compact","Что урезано / скрыто","Почему это, вероятно, сделали","Оправдано / нет","Нужно синхронизировать"
"Hero","Полный hero + меню + бренд + booking","Тот же hero, body скрыт","Отдельный mobile hero, короче и плотнее","Тот же mobile hero, body скрыт","В mobile меньше supporting-контента","Сжать первый экран","Оправдано частично","Оставить divergence"
"Booking block","Полный booking (desktop DOM)","Тот же booking","Полный booking (mobile DOM)","Тот же booking","Нет явной потери, логика общая","Единый funnel в 2 DOM-ветках","Оправдано","Синк только поведенчески"
"Shifts / Programs","Есть section-programs (4 карточки + календарь)","Через modal clone section-programs","Инлайн section отсутствует, только booking (2 смены)","Инлайн section отсутствует, доступ через modal","В mobile full теряется полный каталог смен в инлайн-потоке","Упростить mobile body","Не ок (слишком разный опыт)","Да, sync к desktop full/compact data"
"Photo","Полный блок: фильтры + grid + lightbox","Через modal clone полного блока","Инлайн урезан: 4 фото без фильтров/lightbox","Инлайн скрыт, только modal","Потеря фильтров/объёма в mobile full","Сокращение mobile шума","Частично ок","Да, унифицировать entry-point"
"Video","Feature + main video + 3 карточки","Через modal clone полного блока","Инлайн урезан: список CTA-карточек","Инлайн скрыт, только modal","В mobile full нет полного video-feature по умолчанию","Сжать mobile секции","Не ок (двойной паттерн)","Да, sync поведения"
"Reviews","5.0 header + CTA + 6 подробных карточек","Через modal clone полного блока","Инлайн 3 коротких карточки","Инлайн скрыт, только modal","Потеря social proof depth в mobile full","Сжать контент","Не ок для конверсии","Да, вернуть критичный proof"
"FAQ","Фильтры + группы + ответы","Через modal clone полного блока","Инлайн flattened список (6 пунктов), без фильтров","Инлайн скрыт, только modal","Потеря группировки/фильтров в mobile full","Упростить mobile","Частично ок","Да, хотя бы фильтры/группы"
"Team","Полная композиция (книга + core + carousel)","Через modal clone полного блока","Инлайн только 4 человека, без книги/carousel","Инлайн скрыт, modal","Потеря book-card и композиции в mobile full","Сжать блок","Не ок (теряется ключевой trust)","Да, вернуть trust-ядро"
"Placement / Stay","Полный stay grid (3 карточки)","Через modal clone полного блока","Инлайн condensed stay cards","Инлайн скрыт, modal","Урезан copy/detail в mobile full","Компактность mobile","Оправдано частично","Оставить, но добавить важные детали"
"Contacts","Map + address + 4 контакта + соцсети","Через modal clone полного блока","Инлайн только WhatsApp/Telegram + соцсети","Инлайн скрыт, modal","Нет карты/адреса/телефонов в mobile full инлайн","Очистка mobile блока","Не ок (инфо срезана)","Да, вернуть карту/адрес entry"
"Map","Есть iframe embed в section-contacts","Есть в modal contacts","Нет инлайн map в mobile full","Есть только через modal contacts","Path-dependent доступ к карте","Сжать mobile секцию","Не ок","Да, sync минимум с CTA+мини-карта"
"Footer / Legal","Есть footer + legal links + org meta","Скрыт вместе с body-sections","Нет","Нет","Legal недоступен в 3 из 4 режимов","Сокращённый режим скрывает body","Не ок (комплаенс/доверие)","Да, критично"
