"Что резали","В какой версии","Что именно потеряно","Почему, вероятно, резали","Это ок / не ок","Что вернуть","Приоритет"
"Footer + legal","Desktop Compact, Mobile Full, Mobile Compact","Юридические ссылки и реквизиты не видны","Скрыли body-sections в compact и не вынесли legal отдельно","Не ок","Постоянный legal mini-block вне скрываемых секций","P0"
"Journey block","Desktop Compact, Mobile Full, Mobile Compact","Блок 'Как проходит смена' недоступен через nav/modal","Нет в COMPACT_MODAL_SECTIONS и нет mobile-section-journey","Не ок","Добавить в маршрутизацию и mobile/full представление","P0"
"Programs richness","Mobile Full","Нет отдельного section-programs (4 смены + календарь)","Mobile упрощён до booking card","Не ок","В mobile full показать компактный programs section или scroll-entry к полному блоку","P1"
"Reviews richness","Mobile Full","Нет 5.0 header, нет CTA на Яндекс, нет полного набора review cards","Сокращение для плотности","Не ок","Вернуть score+CTA и хотя бы 4-6 карточек/слайдер","P1"
"Team trust layer","Mobile Full","Нет book-card и утверждённой team-composition","Сильное упрощение mobile section","Не ок","Вернуть book-card и core-team в mobile full","P1"
"Contacts richness","Mobile Full","Нет карты, адреса, city/mobile phone","Очистка mobile contacts","Не ок","Вернуть map/address/phones как минимум collapse-блок","P1"
"Photo richness","Mobile Full","Нет фильтров, нет lightbox entry в инлайн-блоке","Сжатие mobile блока","Частично ок","Добавить минимум: фильтр-таб + open lightbox","P2"
"Video richness","Mobile Full","Нет video-feature и main video cover в инлайн-блоке","Сжатие mobile блока","Частично ок/скорее не ок","Добавить main video tile + preview карточки","P2"
"FAQ taxonomy","Mobile Full","Потеря групп/фильтров, flat list из 6 пунктов","Сжатие mobile блока","Частично ок","Вернуть фильтры или группировку","P2"
"About access in Mobile Compact","Mobile Compact","Нет отдельного пункта 'О лагере' в mobile compact top-nav","Сократили nav до ключевых пунктов","Не ок","Добавить 'О лагере' в compact menu","P2"
"Summary bar channel","Desktop Compact","Скрыт global summary CTA","Избежать наложений в compact","Ок частично","Опционально: compact-safe summary chip","P3"
