Zone,Risk,Reason,Severity,What to do
Hero overlap,"Negative overlap hack on booking card",".hero-booking-card uses margin-bottom:-32px + translateY(-12px) and hover delta; sensitive to content height",major,"Replace with explicit layout slot + pseudo seam guard"
Hero seam,"Edge seam patched by first section override",".body-sections > .section-card:first-child uses negative margins and border removal",major,"Use dedicated hero-bottom mask or consistent container radius contract"
Mode/mq override stack,"Same selectors overridden across base + 1180 + 820","hero-shell, hero-booking-card, hero-topbar, mobile-nav have multiple redefinitions",major,"Consolidate per-component breakpoint blocks"
Overflow strategy conflict,"Visible + clip mix","hero-shell overflow:visible while parent containers use overflow-x:clip",major,"Define one overflow policy and isolate overlaps in wrapper"
Z-index drift,"Mixed tokenized and hardcoded layers","z-index uses var tokens and hardcoded 120/130/131",minor,"Normalize z-index scale to token set"
Inline style dependency,"Markup-level styles compete with stylesheet","mobileBookingCard has inline style attrs overriding CSS",major,"Move inline styles to CSS classes only"
Important usage,"14 !important declarations","Mainly in responsive/visibility controls; masks selector problems",minor,"Reduce !important by specificity cleanup"
Video block complexity,"Legacy and new styles coexist","video-feature(main) + video-list cards + vertical modifiers coexist",major,"Delete deprecated main-video styles after rework"
Team layout fragility,"Hybrid grid + horizontal scroller","team-top fixed columns and team-carousel min-width can overflow at intermediate widths",minor,"Add explicit tablet breakpoint and card min/max contract"
Section modal sizing,"Hardcoded compact dimensions","section-modal-compact uses max-width:calc(100vw - 420px)",major,"Base width on hero/card measured CSS vars instead of magic number"
Mobile nav density,"No-wrap horizontal menu with icon+text mix","Can become cramped under localization/text growth",minor,"Add truncation + priority collapse"
Booking card stage CSS,"State classes hide/show large blocks","booking-stage-* controls many descendants, can break when markup changes",major,"Scope stage selectors to smaller subcontainers"
Map/media fixed heights,"Fixed min-heights across breakpoints","map-frame and posters rely on fixed heights/aspect combos",minor,"Convert to aspect-ratio driven responsive wrappers"
Animation stacking,"Multiple pulse/fade/transform effects","Potential motion conflicts on low-end devices",minor,"Add prefers-reduced-motion and reduce simultaneous transforms"
