file_or_group,category,where_to_store,commit_now,why
"gpt.html, legal.html (root)",A:Build/Release,Keep in git only if they are canonical source pages; otherwise move to src/pages and generate outputs,No (for generated copies),Root generated copies are volatile and duplicate build output.
build/* generated html,A:Build/Release,Keep outside git or keep only in release bundles,No,Build outputs are reproducible and noisy in diffs.
dist/* generated output,A:Build/Release,Keep outside git by default; allow only required deploy artifact policy,No (except policy-required index),Avoid drift between source and generated files.
report.md (root + patch/audit reports),B:Audit/Report,Keep final reports in artifacts/audits/final,Yes (final only),Final human-readable audit output is useful baseline; intermediates are noise.
changes.diff,B:Audit/Report,Keep outside git unless it is approval baseline,No (normally),Diff dumps are large and ephemeral.
audit_* and patch_* zip bundles,B:Audit/Report,Archive only in release/archive storage,No,Binary bundles bloat repo and duplicate extracted content.
screens/final baselines,C:Screens/Visual,Keep in git in curated folder (max 5-10 key baselines),Yes (selected),Need visual baseline for regressions; keep minimal set only.
screens/debug and bulk screenshots,C:Screens/Visual,Keep outside git or archive,No,High churn and large volume; no long-term signal.
audit/playwright/artifacts/*,C:Screens/Visual,Keep ignored local artifacts only,No,Autogenerated by tests; reproducible.
archive/legacy/* and backups,D:Legacy/Backup/Archive,Archive-only; keep compressed snapshots outside active tree,No,"Historical safety net, not active source."
"prototype-export/*, ui-sandbox/* exports",D:Legacy/Backup/Archive,Outside git unless promoted to documented prototype,No (default),Prototype dumps are transient.
"docs/* (contracts, state, checklist, project-map)",E:Runtime/Source Docs,Keep in git,Yes,These docs define runtime and release process and should be versioned.
ai/report.md,E:Runtime/Source Docs,Keep in git,Yes (already tracked),Operational report tracked and stable.
