Area,Where,Risk,Severity,Impact,Recommended fix
Source of truth split,"build.sh:17-20, build.sh:225-231, build/gpt.html vs gpt.html","Pipeline writes gpt.html/legal.html in repo root but leaves build/gpt.html stale; two artifact locations diverge",major,"Team can validate wrong artifact and publish stale UI","Choose one artifact path (dist/index.html + gpt.html), delete/stop using build/gpt.html"
Runtime entry mismatch,"deploy.sh:9-10, docs/project-map.md","Deploy script publishes dist/index.html to index.html on server; docs declare index.html as source in repo",major,"Confusion between source template and deployed one-file output", "Document strict dev/prod paths and enforce with CI check"
Parallel JS architecture,"src/scripts/main.js vs src/scripts/core/** + src/scripts/features/**","Monolith is active runtime, but parallel modular tree exists and is not wired into build",major,"Future edits can land in dead modules and never reach production", "Either wire modules into build or archive dead tree"
Parallel CSS architecture,"src/styles/main.css vs src/styles/base/**, layout/**, components/**, features/**","main.css is canonical runtime while split CSS tree exists but not imported",major,"High chance of editing unused files", "Adopt @import or remove non-runtime CSS tree"
Legacy leftovers,"repo status and archive/legacy","Large patch-driven history and backup artifacts increase ambiguity",minor,"Maintenance overhead and accidental edits", "Keep non-runtime assets strictly in archive and lock with lint/CI"
DOM branch divergence,"index.html desktop/mobile separate branches","Many sections duplicated in dedicated mobile markup with different IDs and content density",major,"Content and behavior drift across modes", "Normalize through shared data render functions where possible"
Modal clone model,"main.js openSectionModal():609-634","Compact/mobile modal clones full sections by DOM clone and strips IDs",minor,"Hidden coupling; interactive elements rely on event delegation only", "Keep a whitelist of interactive selectors and test each cloned section"
Inline config coupling,"index.html inline AC_NOTIFY_CONFIG","Runtime relies on global config injected in page HTML",minor,"Environment misconfig can silently break lead delivery", "Add startup assert and visible health indicator in debug mode"
Unbounded global state,"main.js state object:211+","Single mutable state object controls all modes/flows without schema guard on load",major,"State drift and hard-to-debug regressions", "Validate loaded state and enforce narrow transitions"
Artifact freshness checks missing,"build.sh and no post-build verify","No guard to ensure build/gpt.html, gpt.html, dist/index.html synchronized",major,"Manual release mistakes", "Add checksum verification step in build/release checklist"
