Блок,Data source,Единый / не единый,Где расходится,Severity,Рекомендация
hero,"index.html + CSS tokens","частично единый","desktop и mobile имеют отдельные DOM-ветки и разные top-composition элементы","major","Свести hero-контент к общему data-слою и оставить различия только в layout"
booking,"src/scripts/main.js state + shifts","единый","один state/flow, но разные контейнеры desktop/mobile","minor","Оставить единый state; постепенно унифицировать markup шагов"
shifts,"const shifts (main.js)","единый","mobile/desktop используют разные render-контейнеры","minor","Не менять data-source; сократить дубли рендереров"
journey,"desktop: index.html; mobile: отдельная mobile-section","не единый","mobile имеет сокращённый band вместо полной journey-grid","major","Синхронизировать смысл и пункты journey во всех 4 режимах"
photo,"mediaContent.photos","частично единый","mobile full использует slice(0,4), compact открывает desktop clone modal","major","Ввести общие правила объёма контента и фильтров для mobile/full"
video,"mediaContent.videos","частично единый","desktop carousel + mobile simplified list + modal/fallback разные паттерны","major","Зафиксировать единый card schema и единые opening rules"
reviews,"mediaContent.reviews","не единый","desktop показывает full social proof; mobile full только первые 3","major","Вернуть полноту отзывов в mobile full или добавить явный 'показать все'"
FAQ,"mediaContent.faq","частично единый","mobile full flatten+slice(0,6), desktop групповой формат","major","Сохранить группы FAQ и в mobile full (без среза содержания)"
team,"mediaContent.team","частично единый","desktop имеет book+core+carousel; mobile slice(0,4)","major","Синхронизировать состав команды (без потери участников на mobile full)"
stay,"desktop DOM + mobile derived from desktop query","не единый","mobile data берётся через querySelectorAll('#section-stay .stay-card')","major","Перенести stay в единый data source в JS"
contacts,"mediaContent.contacts","не единый","mobile full отбирает только whatsapp/telegram","major","Определить минимально допустимый контактный набор для всех full-режимов"
map,"mediaContent.references.locationMapEmbedUrl","единый","рендер iframe только в desktop section","minor","Добавить ясный mobile-доступ к карте (inline или modal)"
footer/legal,"index.html + src/pages/legal.html","частично единый","desktop footer полный; mobile full отдельная legal section без footer cluster","major","Сделать единый legal access policy для 4 режимов"
