"Зона","Desktop Full","Desktop Compact","Mobile Full","Mobile Compact","В чём divergence","Это intentional или accidental","Риск","Рекомендация"
"Menu routing","data-nav -> navigateToSection -> scroll","data-nav -> sectionModal (clone)","mobile-hero-nav принудительно openSectionModal","mobile-hero-nav принудительно openSectionModal","Mobile Full не скроллит к своим же mobile-section, а открывает desktop clone modal","Accidental / drift","Major UX inconsistency","Разделить поведение: full=scroll, compact=modal"
"Scroll vs modal","Основной паттерн scroll","Основной паттерн modal","Смешанный: инлайн-секции есть, но nav ведёт в modal","Modal only","Разные mental models внутри mobile full","Accidental","Major","Унифицировать mobile full на scroll-путь"
"Booking flow","Единый handler + state","Тот же","Тот же","Тот же","Логика синхронизирована, divergence только в DOM","Intentional","Low","Оставить"
"Progressive disclosure","booking-stage-* классы","Тот же","Тот же","Тот же","Единый stage engine","Intentional","Low","Оставить"
"Hard lock","Shift disabled до age + hints","Тот же","Тот же","Тот же","Единая блокировка/подсказки","Intentional","Low","Оставить"
"CTA behavior","handlePrimaryCTA + summary CTA","То же, но summary bar скрыт CSS","Тот же handler","Тот же handler","Desktop compact теряет summary CTA канал","Intentional","Minor","Оставить или добавить compact summary mini"
"Hints behavior","showHint + nudge","Тот же","Тот же","Тот же","showHint пишет и в desktop, и в mobile hint-контейнеры всегда","Mostly intentional","Minor","Можно локализовать hints по active view"
"Reset behavior","debug reset доступен","debug reset доступен","debug reset доступен","debug reset доступен","Сброс сохраняет текущий view/mode, не factory по режиму","Intentional","Minor","Ок для debug; документировать"
"Photo modal behavior","Полный grid + lightbox","Через modal clone","Инлайн фото без lightbox + nav modal с lightbox","Modal only","Разный depth контента внутри одного режима (mobile full)","Accidental","Major","Унифицировать mobile full entry"
"Video behavior","Feature + cards + video modal","Через modal clone","Инлайн упрощённый list + nav modal full","Modal only","Две модели видео в mobile full","Accidental","Major","Свести к одной модели"
"Contacts behavior","Map/address/phones/social","Через modal clone","Инлайн WhatsApp/Telegram only + соцсети","Modal only","Критичный контактный контент path-dependent","Accidental","Major","Вернуть map/address/phone в mobile full"
"Footer/legal behavior","Есть legal links/meta","Недоступен","Недоступен","Недоступен","Legal отсутствует в 3 режимах","Accidental harmful","Critical","Вывести legal links/meta вне hide-able body"
"Switching logic","View/mode сохраняются в state","То же","То же","То же","Переключения не нормализуют nav behavior между full/compact","Accidental","Major","Связать nav policy с mode явно"
"Modal stack / close","Esc/backdrop/close button","То же","То же","То же","Оверлей может перехватывать клики верхнего UI пока открыт","Intentional but rough","Minor","Добавить явный close affordance в top zone и focus trap"
